user_id,item_id,timestamp
0,10387,1010267466000
0,10386,1011017000000
0,10385,1012959978000
0,10384,1028391223000
0,10383,1042257118000
0,10382,1044135689000
0,10381,1049669354000
0,10380,1080840172000
0,10379,1144316545000
0,10378,1193112341000
1,10392,1483122700000
1,10391,1511753174174
1,10390,1586533637157
10,10449,1577694481490
10,10448,1587695430060
10,10447,1588207167508
100,10730,1158848198000
100,10439,1285590720000
100,10436,1305124024000
1000,11838,1577638698560
1000,10537,1587841293110
1000,11840,1587848059442
10000,12621,1094109660000
10000,10730,1106264557000
10000,13561,1117736876000
10001,10730,1171396243000
10001,13916,1171479456000
10001,10833,1171480143000
10001,11016,1173819243000
10002,11297,1114950950000
10002,11294,1141781743000
10002,11295,1141782838000
10003,10868,1453409098000
10003,10862,1454114156000
10003,12466,1477790199000
10004,11106,1175790745000
10004,11222,1175790869000
10004,13453,1175791019000
10004,13915,1176350862000
10004,12262,1180064178000
10004,12262,1180064278000
10005,10707,1319201706000
10005,10707,1319201836000
10005,12627,1321631872000
10006,12759,1264539972000
10006,10805,1266878200000
10006,10930,1271458307000
10006,10806,1271458978000
10007,13267,1195596393000
10007,11385,1199218087000
10007,13974,1199866258000
10008,11789,1185411166000
10008,11034,1209623925000
10008,11507,1212307210000
10009,13494,1133393655000
10009,12592,1140492987000
10009,12202,1161707200000
1001,11350,1231808441000
1001,12911,1231809779000
1001,10869,1311972160000
10010,10700,1475723435000
10010,10700,1475723435000
10010,11246,1518153522898
10011,10935,1274074065000
10011,11019,1274075253000
10011,11909,1274075613000
10012,12882,984196019000
10012,13802,1000233903000
10012,14047,1004911824000
10013,11517,1298850985000
10013,11015,1302073010000
10013,10853,1320401005000
10014,10853,1373233366000
10014,10853,1373528045000
10014,10853,1376020211000
10014,10862,1376459303000
10015,10853,1333350228000
10015,10576,1333350465000
10015,10681,1333350578000
10015,11751,1334774406000
10016,10533,1579974545696
10016,10752,1579974615066
10016,11722,1580627593004
10017,14134,1615176348210
10017,14134,1615176348210
10017,14134,1615176348210
10018,11394,983717091000
10018,11964,985308564000
10018,10836,994695015000
10018,13329,994695966000
10019,14135,1188831177000
10019,14135,1188831177000
10019,14135,1188831177000
1002,11475,1232299068000
1002,11223,1275201339000
1002,12043,1304463745000
1002,10930,1331246858000
10020,12100,1415205112000
10020,11093,1470473396000
10020,14047,1470473847000
10021,10769,1425004645000
10021,12427,1425004826000
10021,10530,1425005040000
10022,11171,1590420445150
10022,11171,1590420445150
10022,11171,1590420445150
10023,10857,1434671177000
10023,10434,1434671477000
10023,11218,1434671495000
10024,11376,1052768470000
10024,12499,1055533670000
10024,12979,1056029179000
10025,11274,1482708466000
10025,11171,1482708471000
10025,10884,1486957471000
10026,11921,1348625954000
10026,11921,1348625954000
10026,11921,1348625954000
10027,10560,1407416165000
10027,10560,1407416165000
10027,13152,1407416170000
10028,10884,1474757630000
10028,10884,1474757630000
10028,10884,1474757630000
10029,13689,1444944695000
10029,13051,1444945003000
10029,11891,1444945061000
10029,12139,1444945081000
1003,12741,1494942455000
1003,11525,1520867319483
1003,12570,1565034283857
1003,11442,1595341099514
10030,13154,1130792658000
10030,11416,1134070866000
10030,11481,1183231704000
10030,11481,1190577045000
10031,12602,1356732918000
10031,10707,1356733033000
10031,11271,1356733167000
10032,11937,1394305617000
10032,11937,1394305617000
10032,11937,1394305617000
10032,11937,1394305617000
10032,11271,1394305832000
10032,11271,1394305832000
10032,11271,1394305832000
10033,10746,1453770361000
10033,10746,1453770361000
10033,10746,1453770361000
10034,13378,1359532298000
10034,12589,1359532821000
10034,11187,1382560614000
10035,12021,1054790827000
10035,11893,1054841559000
10035,12137,1054842157000
10036,13409,1002229734000
10036,11430,1004228702000
10036,11894,1006062128000
10037,13130,1022341632000
10037,13641,1023122541000
10037,12496,1023123978000
10037,13681,1023898550000
10037,12014,1025752020000
10037,12000,1025752453000
10037,11432,1034040831000
10038,12697,1394205487000
10038,12697,1394205487000
10038,12697,1394205487000
10038,11019,1394205614000
10038,11019,1394205614000
10038,11019,1394205614000
10038,11237,1394205777000
10038,11237,1394205777000
10038,11237,1394205777000
10039,11059,1099862347000
10039,13084,1103081295000
10039,12254,1152209289000
1004,10929,1642551785330
1004,12653,1642554813106
1004,10734,1642554849945
1004,10793,1642555893258
10040,11273,1338293777000
10040,11141,1338294316000
10040,10976,1338294672000
10041,11263,1327899171000
10041,11472,1328143280000
10041,11019,1328401924000
10042,12608,1507037846749
10042,13694,1507037898176
10042,11986,1507037964491
10042,12667,1507037972330
10043,13875,1524670232578
10043,11342,1524670253341
10043,12140,1524670269866
